3631.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | lemon | lycaenid, lycaenid butterfly | jackfruit, jak, jack | daisy | pot, flowerpot
1288.jpg: plate | isopod | meat loaf, meatloaf | chocolate sauce, chocolate syrup | packet | American lobster, Northern lobster, Maine lobster, Homarus americanus | ear, spike, capitulum
5643.jpg: flagpole, flagstaff | mobile home, manufactured home | lakeside, lakeshore | planetarium | patio, terrace | pole | boathouse
1771.jpg: ram, tup | llama | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | gazelle | hare | kuvasz | ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
1570.jpg: prison, prison house | palace | monastery | boathouse | moving van | window shade | freight car
2529.jpg: leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | jaguar, panther, Panthera onca, Felis onca | snow leopard, ounce, Panthera uncia | mongoose | Egyptian cat | tiger, Panthera tigris
1369.jpg: moped | motor scooter, scooter | crash helmet | sports car, sport car | disk brake, disc brake | neck brace | tricycle, trike, velocipede
3730.jpg: earthstar | daisy | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | sea slug, nudibranch | spaghetti squash | book jacket, dust cover, dust jacket, dust wrapper | African chameleon, Chamaeleo chamaeleon
1498.jpg: Egyptian cat | leopard, Panthera pardus | tiger cat | tabby, tabby cat | lynx, catamount | snow leopard, ounce, Panthera uncia | jaguar, panther, Panthera onca, Felis onca
3287.jpg: library | bookshop, bookstore, bookstall | shoe shop, shoe-shop, shoe store | Petri dish | tobacco shop, tobacconist shop, tobacconist | comic book | toyshop
2413.jpg: chocolate sauce, chocolate syrup | plate | tick | pick, plectrum, plectron | ice cream, icecream | hair slide | spaghetti squash
3580.jpg: moped | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | mountain bike, all-terrain bike, off-roader | tricycle, trike, velocipede | knee pad | jinrikisha, ricksha, rickshaw
0750.jpg: flagpole, flagstaff | pole | thatch, thatched roof | bell cote, bell cot | beacon, lighthouse, beacon light, pharos | boathouse | moving van
1876.jpg: mobile home, manufactured home | boathouse | worm fence, snake fence, snake-rail fence, Virginia fence | barn | flagpole, flagstaff | rapeseed | lawn mower, mower
2212.jpg: ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus | white wolf, Arctic wolf, Canis lupus tundrarum | kuvasz | komondor | hog, pig, grunter, squealer, Sus scrofa | ram, tup | llama
6645.jpg: cabbage butterfly | sulphur butterfly, sulfur butterfly | earthstar | ringlet, ringlet butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | bee | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
4012.jpg: moped | motor scooter, scooter | half track | tricycle, trike, velocipede | disk brake, disc brake | mountain bike, all-terrain bike, off-roader | crash helmet
6304.jpg: stinkhorn, carrion fungus | earthstar | fiddler crab | frilled lizard, Chlamydosaurus kingi | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | gyromitra | armadillo
2278.jpg: table lamp | fire screen, fireguard | bow | plate rack | earthstar | television, television system | brassiere, bra, bandeau
1917.jpg: limousine, limo | mobile home, manufactured home | sports car, sport car | mailbox, letter box | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | minivan
0089.jpg: palace | dome | monastery | castle | pedestal, plinth, footstall | mosque | triumphal arch
4293.jpg: airliner | warplane, military plane | space shuttle | projectile, missile | wing | missile | airship, dirigible
6354.jpg: thatch, thatched roof | bell cote, bell cot | monastery | lakeside, lakeshore | worm fence, snake fence, snake-rail fence, Virginia fence | boathouse | beacon, lighthouse, beacon light, pharos
6790.jpg: mobile home, manufactured home | flagpole, flagstaff | patio, terrace | lawn mower, mower | golfcart, golf cart | croquet ball | boathouse
3534.jpg: plate | meat loaf, meatloaf | chocolate sauce, chocolate syrup | mashed potato | cleaver, meat cleaver, chopper | spatula | honeycomb
0421.jpg: monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | hummingbird | sulphur butterfly, sulfur butterfly | ant, emmet, pismire | chime, bell, gong | flagpole, flagstaff | hamper
0901.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | vine snake | sulphur butterfly, sulfur butterfly | earthstar | African chameleon, Chamaeleo chamaeleon | nematode, nematode worm, roundworm | ear, spike, capitulum
1439.jpg: stinkhorn, carrion fungus | yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | mushroom | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | gyromitra | custard apple
6463.jpg: daisy | vase | earthstar | bee | ringlet, ringlet butterfly | sulphur butterfly, sulfur butterfly | lacewing, lacewing fly
6483.jpg: monastery | bell cote, bell cot | palace | lakeside, lakeshore | thatch, thatched roof | worm fence, snake fence, snake-rail fence, Virginia fence | flagpole, flagstaff
6066.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | pot, flowerpot | sulphur butterfly, sulfur butterfly | earthstar | gyromitra | picket fence, paling | pinwheel
3491.jpg: chocolate sauce, chocolate syrup | meat loaf, meatloaf | ice cream, icecream | bakery, bakeshop, bakehouse | plate | spatula | trifle
2915.jpg: llama | Arabian camel, dromedary, Camelus dromedarius | valley, vale | thresher, thrasher, threshing machine | alp | kelpie | seashore, coast, seacoast, sea-coast
5855.jpg: wig | hand blower, blow dryer, blow drier, hair dryer, hair drier | neck brace | fur coat | maraca | Yorkshire terrier | mouse, computer mouse
4225.jpg: moped | motor scooter, scooter | tricycle, trike, velocipede | mountain bike, all-terrain bike, off-roader | bicycle-built-for-two, tandem bicycle, tandem | chain | Model T
6247.jpg: honeycomb | face powder | doormat, welcome mat | wool, woolen, woollen | wallet, billfold, notecase, pocketbook | dishrag, dishcloth | bakery, bakeshop, bakehouse
0743.jpg: kimono | pot, flowerpot | poncho | sarong | vestment | milk can | overskirt
2699.jpg: airliner | moving van | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | airship, dirigible | web site, website, internet site, site | space shuttle | ballpoint, ballpoint pen, ballpen, Biro
3500.jpg: chocolate sauce, chocolate syrup | plate | trifle | consomme | ice cream, icecream | strawberry | iron, smoothing iron
2553.jpg: chocolate sauce, chocolate syrup | trifle | plate | ice cream, icecream | quill, quill pen | eggnog | mashed potato
3876.jpg: minivan | limousine, limo | street sign | traffic light, traffic signal, stoplight | mobile home, manufactured home | tow truck, tow car, wrecker | trolleybus, trolley coach, trackless trolley
2414.jpg: pot, flowerpot | vase | picket fence, paling | greenhouse, nursery, glasshouse | spaghetti squash | butternut squash | goldfish, Carassius auratus
1165.jpg: daisy | lycaenid, lycaenid butterfly | sulphur butterfly, sulfur butterfly | cabbage butterfly | earthstar | ringlet, ringlet butterfly | lacewing, lacewing fly
0605.jpg: Windsor tie | lab coat, laboratory coat | bow tie, bow-tie, bowtie | bolo tie, bolo, bola tie, bola | suit, suit of clothes | barracouta, snoek | tench, Tinca tinca
2382.jpg: motor scooter, scooter | crash helmet | moped | go-kart | sports car, sport car | racer, race car, racing car | disk brake, disc brake
6369.jpg: jaguar, panther, Panthera onca, Felis onca | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | tiger, Panthera tigris | tiger cat | lynx, catamount | tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
0719.jpg: earthstar | buckeye, horse chestnut, conker | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | sulphur butterfly, sulfur butterfly | gyromitra | coral fungus
5735.jpg: chocolate sauce, chocolate syrup | spatula | frying pan, frypan, skillet | stove | plate | consomme | microwave, microwave oven
5385.jpg: street sign | trolleybus, trolley coach, trackless trolley | traffic light, traffic signal, stoplight | mobile home, manufactured home | minivan | limousine, limo | passenger car, coach, carriage
0786.jpg: airliner | space shuttle | planetarium | projectile, missile | warplane, military plane | yawl | airship, dirigible
3639.jpg: chocolate sauce, chocolate syrup | ice cream, icecream | bakery, bakeshop, bakehouse | plate | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | acorn squash | meat loaf, meatloaf
2966.jpg: airliner | warplane, military plane | airship, dirigible | space shuttle | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | moving van | wing
1575.jpg: king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica | isopod | spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish | Dungeness crab, Cancer magister | American lobster, Northern lobster, Maine lobster, Homarus americanus | rotisserie | television, television system
5885.jpg: traffic light, traffic signal, stoplight | street sign | limousine, limo | trolleybus, trolley coach, trackless trolley | loudspeaker, speaker, speaker unit, loudspeaker system, speaker system | hand-held computer, hand-held microcomputer | streetcar, tram, tramcar, trolley, trolley car
3934.jpg: pajama, pyjama, pj's, jammies | toy poodle | neck brace | maraca | Maltese dog, Maltese terrier, Maltese | ice lolly, lolly, lollipop, popsicle | trifle
4582.jpg: airliner | yawl | speedboat | space shuttle | airship, dirigible | sandbar, sand bar | warplane, military plane
6852.jpg: bell cote, bell cot | dome | palace | monastery | church, church building | vault | beacon, lighthouse, beacon light, pharos
4259.jpg: monastery | bell cote, bell cot | dome | altar | church, church building | palace | vault
1844.jpg: moped | motor scooter, scooter | disk brake, disc brake | tricycle, trike, velocipede | mountain bike, all-terrain bike, off-roader | bicycle-built-for-two, tandem bicycle, tandem | crash helmet
4060.jpg: Bedlington terrier | komondor | wallaby, brush kangaroo | Old English sheepdog, bobtail | kuvasz | Sealyham terrier, Sealyham | wombat
1115.jpg: comic book | hair slide | toyshop | library | bikini, two-piece | bookshop, bookstore, bookstall | desk
4622.jpg: airliner | warplane, military plane | space shuttle | airship, dirigible | projectile, missile | solar dish, solar collector, solar furnace | missile
3637.jpg: daisy | sea anemone, anemone | isopod | quill, quill pen | sea urchin | web site, website, internet site, site | vase
3338.jpg: amphibian, amphibious vehicle | thresher, thrasher, threshing machine | warplane, military plane | speedboat | racer, race car, racing car | wing | projectile, missile
1803.jpg: ram, tup | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | gazelle | llama | ibex, Capra ibex | Arabian camel, dromedary, Camelus dromedarius | Kerry blue terrier
3785.jpg: airliner | projectile, missile | warplane, military plane | missile | space shuttle | black grouse | black stork, Ciconia nigra
2837.jpg: suit, suit of clothes | Windsor tie | bassoon | lab coat, laboratory coat | oboe, hautboy, hautbois | seat belt, seatbelt | stethoscope
2561.jpg: flagpole, flagstaff | pole | mobile home, manufactured home | safety pin | monastery | street sign | prison, prison house
3858.jpg: snow leopard, ounce, Panthera uncia | leopard, Panthera pardus | cheetah, chetah, Acinonyx jubatus | lynx, catamount | Egyptian cat | jaguar, panther, Panthera onca, Felis onca | black grouse
0781.jpg: moped | motor scooter, scooter | go-kart | tricycle, trike, velocipede | crash helmet | stretcher | sports car, sport car
6873.jpg: consomme | hot pot, hotpot | chocolate sauce, chocolate syrup | plate | ice cream, icecream | caldron, cauldron | mortar
2669.jpg: moped | disk brake, disc brake | sports car, sport car | motor scooter, scooter | crash helmet | car wheel | bicycle-built-for-two, tandem bicycle, tandem
4613.jpg: ram, tup | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | ibex, Capra ibex | typewriter keyboard | Arctic fox, white fox, Alopex lagopus | white wolf, Arctic wolf, Canis lupus tundrarum | schipperke
5848.jpg: plate | chocolate sauce, chocolate syrup | meat loaf, meatloaf | French loaf | spatula | trifle | ice cream, icecream
0853.jpg: minivan | street sign | traffic light, traffic signal, stoplight | tow truck, tow car, wrecker | mobile home, manufactured home | passenger car, coach, carriage | moving van
5384.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | sulphur butterfly, sulfur butterfly | bell pepper | spaghetti squash | stinkhorn, carrion fungus | earthstar | ear, spike, capitulum
2714.jpg: daisy | lycaenid, lycaenid butterfly | ringlet, ringlet butterfly | lacewing, lacewing fly | earthstar | hair slide | cabbage butterfly
5484.jpg: moped | motor scooter, scooter | crash helmet | sports car, sport car | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | neck brace | disk brake, disc brake
3082.jpg: daisy | binder, ring-binder | dome | bell cote, bell cot | book jacket, dust cover, dust jacket, dust wrapper | bow | pickelhaube
3832.jpg: monastery | palace | mosque | vault | triumphal arch | academic gown, academic robe, judge's robe | bell cote, bell cot
0148.jpg: daisy | hip, rose hip, rosehip | earthstar | pot, flowerpot | sulphur butterfly, sulfur butterfly | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | grey fox, gray fox, Urocyon cinereoargenteus
1402.jpg: palace | prison, prison house | castle | monastery | gondola | streetcar, tram, tramcar, trolley, trolley car | dock, dockage, docking facility
6200.jpg: mobile home, manufactured home | patio, terrace | boathouse | lakeside, lakeshore | worm fence, snake fence, snake-rail fence, Virginia fence | picket fence, paling | flagpole, flagstaff
3460.jpg: mobile home, manufactured home | flagpole, flagstaff | planetarium | patio, terrace | maze, labyrinth | golf ball | moving van
2609.jpg: library | Petri dish | cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM | medicine chest, medicine cabinet | beaker | photocopier | toyshop
3773.jpg: pot, flowerpot | greenhouse, nursery, glasshouse | king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica | stinkhorn, carrion fungus | gong, tam-tam | rock crab, Cancer irroratus | earthstar
5599.jpg: airliner | projectile, missile | space shuttle | missile | warplane, military plane | revolver, six-gun, six-shooter | dugong, Dugong dugon
2081.jpg: warplane, military plane | worm fence, snake fence, snake-rail fence, Virginia fence | airliner | thresher, thrasher, threshing machine | projectile, missile | missile | sorrel
4071.jpg: minivan | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | tow truck, tow car, wrecker | mobile home, manufactured home | moving van | snowplow, snowplough | sports car, sport car
0084.jpg: palace | gondola | monastery | cab, hack, taxi, taxicab | bearskin, busby, shako | castle | streetcar, tram, tramcar, trolley, trolley car
0395.jpg: palace | prison, prison house | monastery | bell cote, bell cot | boathouse | bearskin, busby, shako | pedestal, plinth, footstall
3779.jpg: moped | motor scooter, scooter | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | pickup, pickup truck | convertible | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | tow truck, tow car, wrecker
3540.jpg: komondor | kuvasz | llama | ram, tup | kelpie | Great Pyrenees | white wolf, Arctic wolf, Canis lupus tundrarum
3841.jpg: plate | chocolate sauce, chocolate syrup | cleaver, meat cleaver, chopper | envelope | ice cream, icecream | packet | burrito
2417.jpg: monastery | palace | obelisk | bell cote, bell cot | castle | gondola | pedestal, plinth, footstall
1177.jpg: cabbage butterfly | cardoon | earthstar | pot, flowerpot | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | sulphur butterfly, sulfur butterfly | picket fence, paling
2642.jpg: leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | cheetah, chetah, Acinonyx jubatus | tiger, Panthera tigris | snow leopard, ounce, Panthera uncia | lynx, catamount | lion, king of beasts, Panthera leo
4826.jpg: palace | gondola | monastery | church, church building | castle | bell cote, bell cot | altar
3513.jpg: airliner | space shuttle | projectile, missile | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | waffle iron | missile | airship, dirigible
5445.jpg: daisy | sunscreen, sunblock, sun blocker | lotion | soap dispenser | golf ball | earthstar | sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
3567.jpg: airliner | space shuttle | warplane, military plane | projectile, missile | wing | missile | aircraft carrier, carrier, flattop, attack aircraft carrier
5191.jpg: hog, pig, grunter, squealer, Sus scrofa | Bedlington terrier | standard poodle | Sealyham terrier, Sealyham | polecat, fitch, foulmart, foumart, Mustela putorius | Angora, Angora rabbit | miniature poodle
1996.jpg: prison, prison house | library | medicine chest, medicine cabinet | plunger, plumber's helper | neck brace | hand blower, blow dryer, blow drier, hair dryer, hair drier | crutch
2226.jpg: mobile home, manufactured home | flagpole, flagstaff | church, church building | boathouse | patio, terrace | picket fence, paling | beacon, lighthouse, beacon light, pharos
2667.jpg: airliner | projectile, missile | space shuttle | missile | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | warplane, military plane | speedboat
2676.jpg: mobile home, manufactured home | street sign | seashore, coast, seacoast, sea-coast | moving van | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | lakeside, lakeshore | limousine, limo
5595.jpg: leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | cheetah, chetah, Acinonyx jubatus | snow leopard, ounce, Panthera uncia | lynx, catamount | tiger, Panthera tigris | lion, king of beasts, Panthera leo
6533.jpg: buckeye, horse chestnut, conker | earthstar | daisy | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | stinkhorn, carrion fungus | coral fungus | sulphur butterfly, sulfur butterfly
6788.jpg: moped | crash helmet | disk brake, disc brake | mountain bike, all-terrain bike, off-roader | motor scooter, scooter | bicycle-built-for-two, tandem bicycle, tandem | comic book
3303.jpg: chest | plane, carpenter's plane, woodworking plane | quill, quill pen | hamper | chocolate sauce, chocolate syrup | candle, taper, wax light | honeycomb
1358.jpg: cheetah, chetah, Acinonyx jubatus | leopard, Panthera pardus | lion, king of beasts, Panthera leo | jaguar, panther, Panthera onca, Felis onca | lynx, catamount | tiger, Panthera tigris | brown bear, bruin, Ursus arctos
1929.jpg: monastery | barn | bell cote, bell cot | boathouse | church, church building | beacon, lighthouse, beacon light, pharos | flagpole, flagstaff
0348.jpg: neck brace | pajama, pyjama, pj's, jammies | lab coat, laboratory coat | Band Aid | stethoscope | Windsor tie | hand blower, blow dryer, blow drier, hair dryer, hair drier
3816.jpg: moped | jinrikisha, ricksha, rickshaw | tricycle, trike, velocipede | bicycle-built-for-two, tandem bicycle, tandem | motor scooter, scooter | mobile home, manufactured home | stretcher
0190.jpg: plate | ice cream, icecream | chocolate sauce, chocolate syrup | trifle | ice lolly, lolly, lollipop, popsicle | strawberry | consomme
0779.jpg: street sign | mobile home, manufactured home | minivan | cab, hack, taxi, taxicab | traffic light, traffic signal, stoplight | sports car, sport car | convertible
5660.jpg: street sign | mobile home, manufactured home | minivan | passenger car, coach, carriage | minibus | planetarium | recreational vehicle, RV, R.V.
6404.jpg: tench, Tinca tinca | Windsor tie | lab coat, laboratory coat | barracouta, snoek | oboe, hautboy, hautbois | suit, suit of clothes | bow tie, bow-tie, bowtie
1971.jpg: earthstar | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | gyromitra | stinkhorn, carrion fungus | coral fungus | bolete | sulphur butterfly, sulfur butterfly
4776.jpg: yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum | earthstar | hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa | stinkhorn, carrion fungus | daisy | gyromitra | sulphur butterfly, sulfur butterfly
2783.jpg: leopard, Panthera pardus | jaguar, panther, Panthera onca, Felis onca | snow leopard, ounce, Panthera uncia | cheetah, chetah, Acinonyx jubatus | lynx, catamount | Egyptian cat | cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
4544.jpg: Windsor tie | neck brace | suit, suit of clothes | lab coat, laboratory coat | bathtub, bathing tub, bath, tub | television, television system | tub, vat
5597.jpg: dome | palace | monastery | bell cote, bell cot | church, church building | beacon, lighthouse, beacon light, pharos | vault
3804.jpg: airliner | trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi | moving van | upright, upright piano | tripod | airship, dirigible | space shuttle
4904.jpg: chocolate sauce, chocolate syrup | bolo tie, bolo, bola tie, bola | buckle | ocarina, sweet potato | hair slide | pick, plectrum, plectron | thimble
3225.jpg: airliner | projectile, missile | missile | warplane, military plane | wing | stretcher | trimaran
